rate,agg_throughput,avg_per_core_throughput,avg_latency,p99_latency
1000,6129.753333333334,875.6790000000001,0.13805399999999998,0.5599113333333333
2000,11687.4,1669.6233333333332,0.13304633333333335,0.560671
3000,17195.966666666667,2456.5666666666666,0.13389166666666666,0.566998
4000,22657.233333333334,3236.7466666666664,0.13762233333333335,0.5733243333333333
5000,28067.166666666668,4009.6000000000004,0.142332,0.5822976666666667
6000,33457.06666666667,4779.586666666667,0.14762866666666666,0.5995846666666668
7000,38794.700000000004,5542.1033333333335,0.15391466666666667,0.6690753333333334
8000,44092.333333333336,6298.906666666667,0.16092066666666668,0.7742890000000001
9000,49334.03333333333,7047.72,0.16844499999999998,0.8679873333333332
10000,54479.73333333334,7782.813333333334,0.1769086666666667,0.952747
11000,59605.03333333333,8515.006666666666,0.18762366666666666,1.0313333333333334
12000,64609.86666666667,9229.979999999998,0.19876333333333332,1.0911199999999999
13000,69634.86666666667,9947.833333333334,0.21202733333333335,1.16124
14000,74532.26666666666,10647.466666666667,0.2298806666666667,1.25538
15000,79393.00000000001,11341.866666666667,0.25048166666666666,1.35285
16000,84162.83333333333,12023.266666666668,0.27661033333333335,1.4521266666666666
17000,88702.86666666665,12671.833333333334,0.312123,1.65303
18000,93310.0,13330.0,0.3583663333333333,1.9166133333333333
19000,97639.90000000001,13948.533333333333,0.429657,2.3534
20000,101944.66666666667,14563.533333333333,0.5760716666666666,3.3029100000000002
22000,109535.66666666667,15647.933333333334,1.0444166666666668,7.847433333333332
24000,110194.33333333333,15742.0,640.9776666666667,5710.493333333333
26000,109028.33333333333,15575.466666666667,1540.67,9457.51
28000,109388.0,15626.833333333334,2186.5133333333333,10973.1
30000,110383.66666666667,15769.133333333333,2846.903333333333,12421.166666666666
