rate,agg_throughput,avg_per_core_throughput,avg_latency,p99_latency
1000,6561.31,937.3303333333333,0.054207,0.215749
2000,12497.300000000001,1785.33,0.05509153333333333,0.223172
3000,17984.7,2569.2400000000002,0.054030633333333335,0.220598
4000,23240.666666666668,3320.1,0.05481703333333333,0.22776133333333334
5000,28330.766666666663,4047.2533333333336,0.05600096666666667,0.24083433333333334
6000,33251.63333333333,4750.233333333334,0.058237533333333334,0.26103533333333334
7000,38120.299999999996,5445.763333333333,0.06036006666666666,0.27589033333333335
8000,42902.1,6128.873333333334,0.06328776666666668,0.29301166666666667
9000,47586.69999999999,6798.100000000001,0.06676493333333333,0.3125573333333333
10000,52220.53333333333,7460.076666666667,0.07090486666666666,0.33218299999999995
11000,56821.03333333333,8117.293333333334,0.0757098,0.35748533333333327
12000,61314.833333333336,8759.266666666668,0.08195936666666666,0.3922136666666667
13000,65784.13333333333,9397.74,0.08958323333333333,0.43243633333333337
14000,70252.03333333334,10036.000000000002,0.09654499999999999,0.47330333333333335
15000,74604.66666666667,10657.800000000001,0.10648833333333334,0.531955
16000,78841.63333333333,11263.1,0.119865,0.6054956666666667
17000,83073.36666666665,11867.633333333333,0.13922866666666667,0.704555
18000,86709.36666666668,12387.066666666666,0.16211,0.8449726666666667
19000,91089.03333333333,13012.700000000003,0.184061,0.996174
20000,94890.03333333333,13555.733333333332,0.23453533333333332,1.3604466666666666
22000,101960.66666666667,14565.766666666668,0.5290103333333334,4.651883333333333
24000,107396.66666666667,15342.400000000001,36.778533333333336,357.1003333333333
26000,103024.43333333333,14717.766666666668,652.6083333333333,3406.066666666667
28000,112310.0,16044.266666666668,659.859,2636.5400000000004
30000,112716.33333333333,16102.4,1318.1266666666668,4222.989999999999
