rate,agg_throughput,avg_per_core_throughput,avg_latency,p99_latency
1000,6632.203333333334,947.4573333333333,1.2930833333333334,8.697270000000001
2000,13149.366666666667,1878.4800000000002,1.3514933333333332,8.904986666666666
3000,19550.166666666668,2792.8766666666666,1.3782833333333333,8.59585
4000,25788.8,3684.1200000000003,1.4209800000000001,8.793843333333333
5000,31887.600000000002,4555.373333333333,1.5006066666666669,8.430423333333335
6000,37815.700000000004,5402.246666666667,1.5816733333333335,8.15659
7000,43630.700000000004,6232.959999999999,1.5863500000000001,9.304730000000001
8000,49314.23333333334,7044.886666666666,1.7038133333333334,9.44579
9000,54831.26666666666,7833.040000000001,1.7263733333333333,10.120826666666666
10000,60114.26666666666,8587.753333333334,1.8183999999999998,10.627833333333333
11000,65345.06666666667,9335.013333333334,1.9128033333333334,11.2605
12000,70329.7,10047.133333333333,2.0547766666666667,12.436833333333334
13000,75311.2,10758.733333333334,2.1996033333333336,12.693433333333333
14000,79766.33333333333,11395.199999999999,2.33981,14.832033333333333
15000,84096.76666666666,12013.833333333334,2.685726666666667,17.255533333333332
16000,88092.86666666665,12584.699999999999,4.174453333333333,41.82216666666667
17000,91730.93333333335,13104.433333333334,21.71083333333333,590.948
18000,95567.56666666667,13652.5,43.922169999999994,1097.595
19000,98531.13333333335,14075.866666666669,130.66266666666667,2847.3000000000006
20000,101506.66666666667,14500.9,223.83466666666666,4430.790000000001
22000,107252.0,15321.733333333332,346.36033333333336,6934.313333333334
24000,112291.33333333333,16041.633333333333,435.10066666666665,9238.343333333332
26000,115090.33333333333,16441.5,635.7623333333333,11012.133333333333
28000,116827.0,16689.566666666666,1041.7596666666666,12516.133333333333
30000,117793.33333333333,16827.633333333335,1625.07,13392.4
